"day","replicate","copies_per_well","condition","marker"
2,"Replicate 1",70573.2299804688,"Condition 1","cccDNA"
2,"Replicate 2",66674.5971679688,"Condition 1","cccDNA"
2,"Replicate 3",60658.0993652344,"Condition 1","cccDNA"
4,"Replicate 1",354827.270507812,"Condition 1","cccDNA"
4,"Replicate 2",329200.146484375,"Condition 1","cccDNA"
4,"Replicate 3",252525.146484375,"Condition 1","cccDNA"
6,"Replicate 1",6513857.8125,"Condition 1","cccDNA"
6,"Replicate 2",4983666.796875,"Condition 1","cccDNA"
6,"Replicate 3",4617546.09375,"Condition 1","cccDNA"
9,"Replicate 1",36522378.125,"Condition 1","cccDNA"
9,"Replicate 2",34967931.25,"Condition 1","cccDNA"
9,"Replicate 3",30280865.625,"Condition 1","cccDNA"
12,"Replicate 1",80523187.5,"Condition 1","cccDNA"
12,"Replicate 2",88052343.75,"Condition 1","cccDNA"
12,"Replicate 3",89047718.75,"Condition 1","cccDNA"
18,"Replicate 1",144855675,"Condition 1","cccDNA"
18,"Replicate 2",181279112.5,"Condition 1","cccDNA"
18,"Replicate 3",149084537.5,"Condition 1","cccDNA"
24,"Replicate 1",134254225,"Condition 1","cccDNA"
24,"Replicate 2",188937375,"Condition 1","cccDNA"
24,"Replicate 3",165718100,"Condition 1","cccDNA"
30,"Replicate 1",206093287.5,"Condition 1","cccDNA"
30,"Replicate 2",194791387.5,"Condition 1","cccDNA"
30,"Replicate 3",213229725,"Condition 1","cccDNA"
36,"Replicate 1",99101018.75,"Condition 1","cccDNA"
36,"Replicate 2",145742975,"Condition 1","cccDNA"
36,"Replicate 3",220201275,"Condition 1","cccDNA"
42,"Replicate 1",251401325,"Condition 1","cccDNA"
42,"Replicate 2",256623175,"Condition 1","cccDNA"
42,"Replicate 3",250184225,"Condition 1","cccDNA"
48,"Replicate 1",202214612.5,"Condition 1","cccDNA"
48,"Replicate 2",263470650,"Condition 1","cccDNA"
48,"Replicate 3",364733275,"Condition 1","cccDNA"
54,"Replicate 1",362431950,"Condition 1","cccDNA"
54,"Replicate 2",310607350,"Condition 1","cccDNA"
54,"Replicate 3",350919200,"Condition 1","cccDNA"
60,"Replicate 1",385826175,"Condition 1","cccDNA"
60,"Replicate 2",386869225,"Condition 1","cccDNA"
