"condition","marker","day","mean","sd","n"
"Condition 1","Intracellular HBV DNA",2,330833.333333333,86470.1297173384,3
"Condition 1","Intracellular HBV DNA",4,26858333.3333333,3361206.38065165,3
"Condition 1","Intracellular HBV DNA",6,445833333.333333,121715172.979105,3
"Condition 1","Intracellular HBV DNA",9,1947500000,608948889.480882,3
"Condition 1","Intracellular HBV DNA",12,3950833333.33333,1473750176.70341,3
"Condition 1","Intracellular HBV DNA",18,4041666666.66667,128290035.986172,3
"Condition 1","Intracellular HBV DNA",24,3.05e+09,438035386.698381,3
"Condition 1","Intracellular HBV DNA",30,3.875e+09,180277563.773199,3
"Condition 1","Intracellular HBV DNA",36,4633333333.33333,642423795.740268,3
"Condition 1","Intracellular HBV DNA",42,6008333333.33333,1011290429.76453,3
"Condition 1","Intracellular HBV DNA",48,8.975e+09,4377570673.33013,3
"Condition 1","Intracellular HBV DNA",54,9733333333.33333,1088098494.31627,3
"Condition 1","Intracellular HBV DNA",60,6.6e+09,877140239.642442,3
"Condition 1","cccDNA",2,65968.642171224,4995.12093170538,3
"Condition 1","cccDNA",4,312184.187825521,53231.4595116137,3
"Condition 1","cccDNA",6,5371690.234375,1005942.92815454,3
"Condition 1","cccDNA",9,33923725,3249137.51499046,3
"Condition 1","cccDNA",12,85874416.6666667,4660947.65506911,3
"Condition 1","cccDNA",18,158406441.666667,19920846.437802,3
"Condition 1","cccDNA",24,162969900,27444966.3127981,3
"Condition 1","cccDNA",30,204704800,9297257.42325223,3
"Condition 1","cccDNA",36,155015089.583333,61080251.2895024,3
"Condition 1","cccDNA",42,252736241.666667,3420748.62505758,3
"Condition 1","cccDNA",48,276806179.166667,82075917.1061371,3
"Condition 1","cccDNA",54,341319500,27213286.6695205,3
"Condition 1","cccDNA",60,399623350,23000013.8498464,3
"Condition 2","Intracellular HBV DNA",2,241531.155904134,70160.6178120236,3
"Condition 2","Intracellular HBV DNA",4,284711.100260417,47416.7715721202,3
"Condition 2","Intracellular HBV DNA",6,3191347.96142578,212741.844364694,3
"Condition 2","Intracellular HBV DNA",9,8594664.1031901,2154624.06387116,3
"Condition 2","Intracellular HBV DNA",12,5247704.36604818,216484.43772325,3
"Condition 2","Intracellular HBV DNA",18,9405976.15559896,3559494.78257977,3
"Condition 2","Intracellular HBV DNA",24,3167662.40437826,797260.625486523,3
"Condition 2","Intracellular HBV DNA",30,4086836.24267578,310475.300515704,3
"Condition 2","Intracellular HBV DNA",36,5593229.47184245,2865693.79683526,3
"Condition 2","Intracellular HBV DNA",42,5437653.40169271,213661.559834307,3
"Condition 2","Intracellular HBV DNA",48,2772936.70654297,81648.4002330528,3
"Condition 2","Intracellular HBV DNA",54,3524844.46207682,610215.347605662,3
"Condition 2","Intracellular HBV DNA",60,4934049.47916667,731872.80996284,3
"Condition 2","cccDNA",2,55885.8052571615,6742.38235684454,3
"Condition 2","cccDNA",4,133468.426513672,42804.0244276472,3
"Condition 2","cccDNA",6,170266.153971354,31994.7970962623,3
"Condition 2","cccDNA",9,276296.752929688,95647.1542362268,3
"Condition 2","cccDNA",12,189891.251627604,37172.033758687,3
"Condition 2","cccDNA",18,336096.720377604,92361.6658142183,3
"Condition 2","cccDNA",24,60644.6197509766,11227.7080694746,3
"Condition 2","cccDNA",30,196764.339192708,10540.0720595008,3
"Condition 2","cccDNA",36,106865.879313151,27801.400724035,3
"Condition 2","cccDNA",42,113207.32014974,22487.8600899751,3
"Condition 2","cccDNA",48,139857.153320312,8161.03101729169,3
"Condition 2","cccDNA",54,160735.705566406,20556.5040483699,3
"Condition 2","cccDNA",60,164035.591634115,16910.7596373434,3
"Condition 3","Intracellular HBV DNA",2,330833.333333333,86470.1297173384,3
"Condition 3","Intracellular HBV DNA",4,26858333.3333333,3361206.38065165,3
"Condition 3","Intracellular HBV DNA",6,445833333.333333,121715172.979105,3
"Condition 3","Intracellular HBV DNA",9,1947500000,608948889.480882,3
"Condition 3","Intracellular HBV DNA",12,3950833333.33333,1473750176.70341,3
"Condition 3","Intracellular HBV DNA",18,4041666666.66667,128290035.986172,3
"Condition 3","Intracellular HBV DNA",24,3.05e+09,438035386.698381,3
"Condition 3","Intracellular HBV DNA",30,4164114687.5,297745058.695584,3
"Condition 3","Intracellular HBV DNA",32,2118066718.75,94960448.6100383,3
"Condition 3","Intracellular HBV DNA",34,2568757291.66667,212716543.360803,3
"Condition 3","Intracellular HBV DNA",36,1498993567.70833,261311932.606999,3
"Condition 3","Intracellular HBV DNA",39,1327820494.79167,45977317.6450261,3
"Condition 3","Intracellular HBV DNA",42,1483735260.41667,384723063.50331,3
"Condition 3","Intracellular HBV DNA",48,1678616796.875,500659417.853172,3
"Condition 3","Intracellular HBV DNA",54,935050963.541667,173624332.641116,3
"Condition 3","Intracellular HBV DNA",60,822344179.6875,213310926.913486,3
"Condition 3","cccDNA",2,65968.642171224,4995.12093170538,3
"Condition 3","cccDNA",4,312184.187825521,53231.4595116137,3
"Condition 3","cccDNA",6,5371690.234375,1005942.92815454,3
"Condition 3","cccDNA",9,33923725,3249137.51499046,3
"Condition 3","cccDNA",12,85874416.6666667,4660947.65506911,3
"Condition 3","cccDNA",18,158406441.666667,19920846.437802,3
"Condition 3","cccDNA",24,162969900,27444966.3127981,3
"Condition 3","cccDNA",30,167965150,1163109.27360405,3
"Condition 3","cccDNA",32,99387966.6666667,5015438.06017018,3
"Condition 3","cccDNA",34,103756554.166667,6124891.17055845,3
"Condition 3","cccDNA",36,87925537.5,10308513.8650675,3
